gregorio|gregorio
samsa|samsa
,|,
svegliandosi|svegliandosi
una|una
mattina|mattina
da|da
sogni|sogni
agitati|agitati
,|,
si|si
trovò|trovò
trasformato|trasformato
,|,
nel|nel
suo|suo
letto|letto
,|,
in|in
un|un
enorme|enorme
insetto|insetto
immondo|immondo
.|.
ripo_sava|ripo_sava
sulla|sulla
schiena|schiena
,|,
dura|dura
come|come
una|una
corazza|corazza
,|,
esollevando|esollevando
un|un
poco|poco
il|il
capo|capo
vedeva|vedeva
il|il
suo|suo
ventre|ventre
arcuato|arcuato
,|,
bruno|bruno
e|e
diviso|diviso
in|in
tanti|tanti
segmenti|segmenti
ricurvi|ricurvi
,|,
in|in
cima|cima
a|a
cui|cui
la|la
coperta|coperta
da|da
letto|letto
,|,
vicina|vicina
a|a
scivolar|scivolar
giù|giù
tutta|tutta
,|,
si|si
manteneva|manteneva
a|a
fatica|fatica
.|.
le|le
gambe|gambe
,|,
numerose|numerose
e|e
sottili|sottili
da|da
far|far
pietà|pietà
,|,
rispetto|rispetto
alla|alla
sua|sua
corporatura|corporatura
normale|normale
,|,
tremolavano|tremolavano
senza|senza
tregua|tregua
in|in
un|un
confuso|confuso
luccichio|luccichio
dinanzi|dinanzi
ai|ai
suoi|suoi
occhi|occhi
.|.
cosa|cosa
m’|m’
è|è
avvenuto|avvenuto
?|?
pensò|pensò
.|.
non|non
era|era
un|un
sogno|sogno
.|.
la|la
sua|sua
camera|camera
,|,
una|una
stanzetta|stanzetta
di|di
giuste|giuste
proporzioni|proporzioni
,|,
soltanto|soltanto
un|un
po’|po’
piccola|piccola
,|,
se|se
ne|ne
stava|stava
tranquilla|tranquilla
fra|fra
le|le
quattro|quattro
be_n|be_n
note|note
pareti|pareti
.|.
sulla|sulla
tavola|tavola
,|,
un|un
campionario|campionario
disfatto|disfatto
di|di
tessuti|tessuti
-samsa|-samsa
era|era
commesso|commesso
viaggiatore|viaggiatore
e|e
sopra|sopra
,|,
appeso|appeso
alla|alla
parete|parete
,|,
un|un
ritratto|ritratto
,|,
ritagliato|ritagliato
da|da
lui|lui
-non|-non
era|era
molto|molto
-da|-da
una|una
rivista|rivista
illustrata|illustrata
e|e
messo|messo
dentro|dentro
una|una
bella|bella
cornice|cornice
dorata|dorata
:|:
raffigurava|raffigurava
una|una
donna|donna
seduta|seduta
,|,
ma|ma
ben|ben
dritta|dritta
sul|sul
busto|busto
,|,
con|con
un|un
berretto|berretto
e|e
un|un
boa|boa
di|di
pelliccia|pelliccia
;|;
essa|essa
levava|levava
incontro|incontro
a|a
chi|chi
guardava|guardava
un|un
pesante|pesante
manicotto|manicotto
,|,
in|in
cui|cui
scompariva|scompariva
tutto|tutto
l’|l’
avambraccio|avambraccio
.|.
lo|lo
sguardo|sguardo
di|di
gregorio|gregorio
si|si
rivolse|rivolse
allora|allora
verso|verso
la|la
finestra|finestra
,|,
e|e
il|il
cielo|cielo
fosco|fosco
(|(
si|si
sentivan|sentivan
